"aq",,,,
"Czas","Si³a","Przemieszczenie","Naprê¿.","Rozstaw"
"sec","N","mm","N/mm2","mm"
"1803,28","-0,02670288","-4,683876","-0,0001511074","7,997375"
"1803,29","-0,02670288","-4,68325","-0,0001511074","7,99675"
"1803,3","-0,02646446","-4,682125","-0,0001497582","7,995625"
"1803,31","-0,02598763","-4,680626","-0,0001470599","7,994125"
"1803,32","-0,02543131","-4,679626","-0,0001439118","7,993126"
"1803,33","-0,02527237","-4,678751","-0,0001430124","7,99225"
"1803,34","-0,02543131","-4,677752","-0,0001439118","7,991251"
"1803,35","-0,02559026","-4,676876","-0,0001448113","7,990376"
"1803,36","-0,02566973","-4,67625","-0,000145261","7,98975"
"1803,37","-0,02582868","-4,675627","-0,0001461604","7,989126"
"1803,38","-0,02582868","-4,675125","-0,0001461604","7,988625"
"1803,39","-0,02598763","-4,674376","-0,0001470599","7,987875"
"1803,4","-0,02638499","-4,673626","-0,0001493085","7,987125"
"1803,41","-0,02670288","-4,673126","-0,0001511074","7,986626"
"1803,42","-0,02670288","-4,671875","-0,0001511074","7,985374"
"1803,43","-0,02622604","-4,670502","-0,000148409","7,984001"
"1803,44","-0,02543131","-4,66975","-0,0001439118","7,98325"
"1803,45","-0,02463659","-4,669001","-0,0001394146","7,9825"
"1803,46","-0,02463659","-4,668125","-0,0001394146","7,981625"
"1803,47","-0,02543131","-4,667252","-0,0001439118","7,980751"
"1803,48","-0,02598763","-4,6665","-0,0001470599","7,98"
"1803,49","-0,02566973","-4,665751","-0,000145261","7,97925"
"1803,5","-0,0251929","-4,665127","-0,0001425626","7,978626"
"1803,51","-0,02503395","-4,664501","-0,0001416632","7,978001"
"1803,52","-0,02527237","-4,663876","-0,0001430124","7,977375"
"1803,53","-0,02598763","-4,663376","-0,0001470599","7,976875"
"1803,54","-0,02670288","-4,6625","-0,0001511074","7,976"
"1803,55","-0,02686183","-4,661125","-0,0001520068","7,974625"
"1803,56","-0,02662341","-4,65975","-0,0001506577","7,973249"
"1803,57","-0,02622604","-4,659","-0,000148409","7,9725"
"1803,58","-0,02566973","-4,658127","-0,000145261","7,971626"
"1803,59","-0,02543131","-4,657375","-0,0001439118","7,970875"
"1803,6","-0,02598763","-4,656502","-0,0001470599","7,970001"
"1803,61","-0,02710024","-4,65575","-0,000153356","7,96925"
"1803,62","-0,0278155","-4,655127","-0,0001574035","7,968626"
"1803,63","-0,02765656","-4,654501","-0,0001565041","7,968"
"1803,64","-0,02710024","-4,653751","-0,000153356","7,967251"
"1803,65","-0,02710024","-4,653252","-0,000153356","7,966751"
"1803,66","-0,02725919","-4,652126","-0,0001542555","7,965626"
"1803,67","-0,02710024","-4,650625","-0,000153356","7,964125"
"1803,68","-0,02638499","-4,649752","-0,0001493085","7,963251"
"1803,69","-0,02559026","-4,649","-0,0001448113","7,9625"
"1803,7","-0,02527237","-4,648127","-0,0001430124","7,961626"
"1803,71","-0,02566973","-4,647375","-0,000145261","7,960875"
"1803,72","-0,02582868","-4,646502","-0,0001461604","7,960001"
"1803,73","-0,02598763","-4,64575","-0,0001470599","7,959249"
"1803,74","-0,02638499","-4,645126","-0,0001493085","7,958626"
"1803,75","-0,0260671","-4,644501","-0,0001475096","7,958"
"1803,76","-0,0251929","-4,643751","-0,0001425626","7,957251"
"1803,77","-0,02455711","-4,643126","-0,0001389648","7,956625"
"1803,78","-0,02463659","-4,642","-0,0001394146","7,9555"
"1803,79","-0,02503395","-4,640501","-0,0001416632","7,954"
"1803,8","-0,02495448","-4,639626","-0,0001412135","7,953125"
"1803,81","-0,02423922","-4,638876","-0,0001371659","7,952375"
"1803,82","-0,02415975","-4,637877","-0,0001367162","7,951376"
"1803,83","-0,02439817","-4,637001","-0,0001380654","7,9505"
"1803,84","-0,02463659","-4,636375","-0,0001394146","7,949875"
"1803,85","-0,02479553","-4,635752","-0,000140314","7,949251"
"1803,86","-0,02463659","-4,635126","-0,0001394146","7,948626"
"1803,87","-0,02479553","-4,634501","-0,000140314","7,948"
"1803,88","-0,02495448","-4,633751","-0,0001412135","7,94725"
"1803,89","-0,02463659","-4,633001","-0,0001394146","7,946501"
"1803,9","-0,02423922","-4,63175","-0,0001371659","7,94525"
"1803,91","-0,02423922","-4,630751","-0,0001371659","7,94425"
"1803,92","-0,02479553","-4,629751","-0,000140314","7,943251"
"1803,93","-0,02503395","-4,629002","-0,0001416632","7,942501"
"1803,94","-0,0251929","-4,628126","-0,0001425626","7,941626"
"1803,95","-0,02543131","-4,627377","-0,0001439118","7,940876"
"1803,96","-0,02566973","-4,626501","-0,000145261","7,940001"
"1803,97","-0,02559026","-4,625751","-0,0001448113","7,939251"
"1803,98","-0,02503395","-4,625126","-0,0001416632","7,938625"
"1803,99","-0,02479553","-4,6245","-0,000140314","7,938"
"1804","-0,02503395","-4,623877","-0,0001416632","7,937376"
"1804,01","-0,02566973","-4,623375","-0,000145261","7,936874"
"1804,02","-0,02670288","-4,622501","-0,0001511074","7,936001"
"1804,03","-0,0278155","-4,62125","-0,0001574035","7,93475"
"1804,04","-0,02805392","-4,619751","-0,0001587527","7,93325"
"1804,05","-0,02710024","-4,619001","-0,000153356","7,932501"
"1804,06","-0,02582868","-4,618126","-0,0001461604","7,931625"
"1804,07","-0,02463659","-4,61725","-0,0001394146","7,93075"
"1804,08","-0,02423922","-4,616501","-0,0001371659","7,93"
"1804,09","-0,02495448","-4,615751","-0,0001412135","7,929251"
"1804,1","-0,02622604","-4,615126","-0,000148409","7,928625"
"1804,11","-0,02686183","-4,6145","-0,0001520068","7,927999"
"1804,12","-0,02646446","-4,613876","-0,0001497582","7,927376"
"1804,13","-0,02559026","-4,613251","-0,0001448113","7,92675"
"1804,14","-0,02503395","-4,612251","-0,0001416632","7,925751"
"1804,15","-0,0251929","-4,610626","-0,0001425626","7,924126"
"1804,16","-0,02559026","-4,609751","-0,0001448113","7,92325"
"1804,17","-0,02622604","-4,609001","-0,000148409","7,922501"
